BookID,BookName,BookTypeID,BookAuthor,BookPrice,BookPressID,BookSumNo
39001,Redhat从入门到精通,1,1005,35.6,18006,10
39002,轻松学会足底按摩,5,1002,35.6,18003,5
39003,Windows Server 2008部署和管理指南,1,1001,49,18002,25
39004,Windows Server 2008网络专业指南,1,1001,49,18002,17
39005,Windows Server 2008活动目录专业指南,1,1001,54,18002,13
39006,疯狂英语之口语基础,3,1006,54,18009,21
39007,大学英语语法应用教程 ,3,1007,17.5,18010,15
39008,微观经济学原理(第3版),4,1008,25,18004,8
39009,经济学的思维方式(第11版),4,1009,11.9,18002,4
39010,蝴蝶效应经济学,4,1003,21,18007,9
39011,法律逻辑学,2,1010,34.6,18011,14
39012,刑法学,2,1004,50.2,18005,27
39013,婚姻法案例分析,2,1005,23.2,18003,5
39014,宪法纲要,2,1003,15.9,18006,12
39015,民事诉讼法纲要,2,1007,21.6,18005,9
39016,原子物理学,6,1003,24.5,18012,4
39017,社会学概论,10,1004,20.3,18003,6
