ID,SNO,BookID,BorrowDate,ReturnDate
1,95009,39001,2009-03-25 23:13:00,2009-04-24 23:13:00
2,95001,39002,2009-03-25 23:13:00,2009-04-24 23:13:00
3,95006,39006,2009-03-25 23:13:00,2009-04-24 23:13:00
4,95004,39006,2009-07-25 23:13:00,2009-08-24 23:13:00
5,95001,39007,2009-03-25 23:13:00,2009-04-24 23:13:00
6,95002,39007,2009-08-25 23:13:00,2009-09-24 23:13:00
7,95003,39007,2009-03-25 23:13:00,2009-04-24 23:13:00
8,95004,39007,2009-03-25 23:13:00,2009-04-24 23:13:00
9,95007,39008,2010-08-08 00:09:00,2011-09-07 00:09:00
10,95004,39008,2010-12-08 00:09:00,2011-01-07 00:09:00
11,95001,39008,2010-12-08 00:09:00,2011-01-07 00:09:00
12,95002,39008,2010-12-08 00:09:00,2011-01-07 00:09:00
13,95005,39009,2010-04-12 00:16:00,2011-05-11 00:16:00
14,95006,39009,2010-12-08 00:16:00,2011-01-07 00:16:00
15,95002,39010,2010-12-08 00:20:00,2011-01-07 00:20:00
16,95003,39010,2010-12-08 00:20:00,2011-01-07 00:20:00
17,95004,39010,2010-12-08 00:20:00,2011-01-07 00:20:00
18,95005,39011,2010-12-08 00:29:00,2011-01-07 00:29:00
19,95003,39012,2010-12-08 01:02:00,2011-01-07 01:02:00
20,95005,39012,2010-12-08 01:03:00,2011-01-07 01:03:00
21,95009,39013,2010-12-08 01:04:00,2011-01-07 01:04:00
22,95003,39016,2010-11-08 00:09:00,2010-12-08 00:09:00
23,95008,39008,2010-12-08 17:25:00,2011-01-07 17:25:00
25,95005,39007,2017-07-19 16:28:00,2017-08-18 16:28:00
